title|location|date|body

Sri Lanka Navy Commander visits INA|KANNUR|April 01, 2019 00:00 IST|Vice Admiral Piyal De Silva, Commander, Sri Lanka Navy, visited Indian Naval Academy (INA) at Ezhimala here on a two-day visit that concluded on Sunday. The visiting Flag Officer called on INA Commandant Vice Admiral R.B. Pandit. The Commander of Sri Lanka Navy was acquainted with the training philosophy, academic facilities, and infrastructure at the INA, a press release of the academy said. He interacted with Sri Lanka Navy Cadets and also watched the inter squadron football championship finals. Friendship Earlier, a delegation of Sri Lanka Navy officers visited the INA in January 2019. These visits aimed to reinforce the bridges of friendship between the two Navies and to consolidate and enhance bilateral defence relations between India and Sri Lanka, the release said. The Sri Lanka Navy commander left for Mumbai on Sunday.

Karadi, Hitnal families battle in Koppal|Ballari|April 01, 2019 00:00 IST|With the Bharatiya Janata Party renominating incumbent MP Karadi Sanganna, the electoral fight in Koppal Lok Sabha constituency has turned into a battle between the Karadi and Hitnal families. In the 2014 elections, Mr. Sanganna and Basavaraj Hitnal had contested, both of them for the first time in a parliamentary battle. Incidentally, the two families have locked horns in Assembly elections earlier. In the five such elections in which the arch rivals contested, Mr. Hitnal tasted victory only once. In the 2013 Assembly polls, he withdrew from the fray to pave way for his son Raghavendra Hitnal, who managed to defeat Mr. Sanganna. Mr. Raghavendra also retained the seat in the subsequent Assembly elections 2018, defeating Mr. Sanganna’s son Amaresh Karadi. In the coming Lok Sabha elections, contrary to the common opinion that Mr. Basavaraj Hitnal would be the Congress candidate, another son of his, Rajashekar, has been given ticket to face Mr. Sanganna.

Two asphyxiated in Hassan|Hassan|April 01, 2019 00:00 IST|  Two persons were asphyxiated when they got into an underground chamber meant for ripening banana at Mosale Hosahalli in Hassan taluk on Sunday. They died while being taken to a hospital here; another person was referred to a hospital in Bengaluru. Superintendent of Police A.N. Prakash Gowda gave the names of the dead as Manje Gowda, 45, and Venkatesh, 50, of Muttige Hirehalli in Holenarasipur taluk.

Workshop discusses suicide, preventive steps|KALABURAGI|April 01, 2019 00:00 IST|K.S. Vijaya, Fifth Additional District and Sessions Judge, said that under section 309 of Indian Penal Code an attempt to commit suicide is punishable with simple imprisonment up to one year and or a fine, but suicide is the only crime where commission is not punishable. He was addressing law students at a one-day State-level workshop on “Effects of Suicide and its Preventive Measures” jointly organised by the Department of Collegiate Education, Karnataka Institute of Law and Parliamentary Affairs Reforms, Bengaluru (KILPAR) and the Vijnaneshwara Government Law College in Kalaburagi recently. Mr. Vijaya said that research has drawn attention towards the ongoing debate whether to retain or delete Section 309 by testing its validity on the grounds of Article 21 of the Constitution which provides right to life as a fundamental right. Mallikarjun Nagrale, First Additional District and Sessions Judge, said that the present generation is more impatient. It cannot accept defeat or take failure in its stride and goes into depression. This has led to a rise in suicide. While a generation ago, suicide among the youth was a rarity as they had the confidence and courage to face life’s challenges. Revayya Wodeyar, Research Head at KILPAR, said that inputs and suggestions made by students during the sessions throughout the workshop will be recorded and KILPAR will submit a report to the government. College principal Shivanand Lengti gave a message to students that “life is precious and as human beings we have no right to take our own lives given by God”.
No picture of ex-CM|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|The BIEC grounds at Madanayakanahalli on Tumakuru highway that saw a huge gathering of Congress and Janata Dal (Secular) workers and leaders had massive cutouts of leaders. However, some cutouts put up by the JD(S) leaders did not have the picture of former Chief Minister Siddaramaiah, while it sported big photographs of Minister D.K. Shivakumar and his brother D.K. Suresh. These banners did not miss the attention of the party cadre.

‘Prominent benefits’|Bengaluru|April 01, 2019 00:00 IST|  The report also lists out the benefits of the project, including establishing connectivity to major major arterial roads such as Ballari Road, Hosur Road, Hoskote Road, Tumakuru Road, Mysuru Road, and Sarjapur Road. “Implementation of the proposed elevated corridor project will help in segregating the fast-moving long-distance traffic without interrupting the slow-moving neighbourhood traffic and will contribute to increasing speed of at-grade traffic movement,” states the report.

Sumalatha to approach court|Mandya|April 01, 2019 00:00 IST|Alleging that there were discrepancies in the video footage — pertaining to the nomination filing process of JD(S) candidate K. Nikhil — that had been given to her, Independent candidate Sumalatha on Sunday said she would question it in court. Madan Kumar, her election agent, has alleged that the district election commission had failed to provide full video footage recorded during the scrutiny even after making repeated requests.


House burglaries: Two arrested|Shivamogga|April 01, 2019 00:00 IST|Two persons have been arrested by Bhadravati police recently for their alleged involvement in a house burglary. The police have identified the arrested as Mailari, a resident of Holehonnur village in Bhadravati taluk, and H. Shivaraj, from Honnanayakanahatti in Channagiri taluk. The police said the arrested were involved in five house burglaries in Bhadravati taluk. Stolen valuables worth Rs. 2.15 lakh have been seized from them.

Juvenile surrenders at home for boys|Bengaluru|April 01, 2019 00:00 IST|A juvenile allegedly involved in a bike theft surrendered at the Government Observation Home for Boys at Madiwala on Sunday, two days after he gave the slip to the police while being escorted. The 17-year-old was taken into custody by the Vyalikaval police on Friday. While being escorted to the State home for boys on a motorcycle, he requested the police to stop near Gali Anjaneyaswamy temple on the pretext of wanting to drink water and escaped. The Byatarayanapura police, based on a complaint, started searching for him. The boy did not go to his home fearing the police. He, however, surrendered at the State home for boys on Sunday.

Now, get skilled labourers through an app in Kottayam|KOTTAYAM|April 01, 2019 00:00 IST|The residents of Manarcaud in Kottayam can now take care of their routine household services with the touch of a finger. For this, all they need is a smartphone equipped with the ‘Thozhilidam App’. The National Service Scheme unit at the St.Mary’s college, Manarcaud has developed a real-time instant app to supply labour and service on demand. The free mobile app being developed with a technical support of a Kochi-cased IT firm, covers about 30 services as different as from rubber tapping to carpentry, painting and even palliative care services. To begin with, the app has listed the details of about 400 skilled workers, as identified by the NSS volunteers of the college, for the customers to sift through and choose. Each worker joining the app will have to undergo background and reference checks and sign an MOU, to make sure that they live up to the objective of offering credible service with out rip-offs. Plans are also afoot to give a fundamental behavioural training to the labourers registering with the app to ensure a smooth delivery of services. The idea of the mobile app, according to Tony Francis, NSS programme officer, follows the huge demand for skilled workers and the thought for leveraging technological advancement to the benefit of the unorganised labourers. Considering the reach of smartphones among all sections of the society, they finally zeroed in on an app-based solution to streamline the unregulated sector, which typically do not have employment contracts or structured methods of finding employment. “The app has two main components- customer and worker. While the client can select the labourer based on GPS location and rating of employees, a message is sent to the person concerned, who may respond to it based on availability, ” he explained. Scale up In addition to expanding the list of services it offers, the app also looks to scale up and expand its customer base. Its creators are now in consultations with the MGU, which has evinced interest in expanding the scope of the project to a vast area including the Kottayam Town. A trial version of the app is already available in Google play store.

Rivals slam Jigajinagi for using Modi’s name to seek votes|Vijayapura|April 01, 2019 00:00 IST|MP and BJP candidate Ramesh Jigajinagi appears to have handed ammunition to his opposition by appealing to voters to vote, not by looking at him but at Prime Minister Narendra Modi. The opposition, mainly the JD(S) which has fielded a candidate in the district, is now using the statement to drive home the message that Mr. Jigajinagi had already conceded defeat, which was why was asking for votes in Mr. Modi’s name instead of his own work. On many occasions, Mr. Jigajinagi has told voters that as Mr. Modi has been “instrumental in developing the nation”, they should vote for the BJP, regardless of its candidate in the constituency. At several press conferences as well, he has said that people should vote by looking at Mr. Modi and his work, not at him. “By making such statements, he is effectively admitting that he has done nothing for the development of the district even in 10 years of his tenure as MP. Since he has failed at his job, he is bringing in Modi’s name to excuse his failures,” said Devanand Chavan, JD(S) MLA whose wife, Sunita Chavan, has been fielded as the coalition candidate in Vijayapura constituency. He challenged the MP to list out the development works started by him during his tenure. Ms. Sunita said at a press conference on Saturday, “The fact is that the MP has just nothing to say on development as he has done nothing. Except for making hollow promises, his contribution to the district is zero. That is why he is asking people to vote by looking at Modi.” The JD(S) is, however, hopeful of getting the people’s vote as they will not be “misled” by the emotional statements of Mr. Jigajinagi.

Tipparaju Hawaldar’s followers angry after he is denied ticket|RAICHUR|April 01, 2019 00:00 IST|The row over the denial of ticket from the Raichur Lok Sabha Constituency to the former Raichur Rural MLA Tipparaju Hawaladar by the Bharatiya Janata Party (BJP) flared up when his angry followers on Sunday gathered at his residence in the city and expressed strong disapproval of the party’s decision to give ticket to Raja Amareshwar Naik. Nearly five hundred followers from various villages attended the meeting called by Mr. Hawaldar and urged him to contest as an Independent candidate in the Lok Sabha elections. They were shouting slogans against the party for its decision and said that it was “injustice” to their leader. “If he is contesting as an Independent candidate now, they would work for his victory,” they said. Efforts being made by MLA Shivaraj Patil, who was present, to pacify the angry supporters of Mr. Hawaldar failed. When the situation seemed to turn to worse, Mr. Hawaldar requested his followers to accept the party decision and work for the party nominee [Mr. Amareshwar Naik]. “I must say thanks to you all for expressing your concern but we have to accept the party decision ultimately,” he told them. “Despite all preparations to contest the election as a key aspirant, I have been denied ticket and the party has chosen Mr. Amareshwar Naik. Therefore, I, as a prominent party worker, should accept the decision,” he toldThe Hinduover phone. “I will work for Prime Minister Narenadra Modi, who has delivered pro-people governance, to bring him to power again and to protect the interests of the nation. Thus, the initial disappointment after being denied ticket would not be taken into consideration while working the party’s success,” the former MLA said and added that he believed in the party’s principles and would adhere to them.

1,130 properties to be affected by elevated corridor|Bengaluru|April 01, 2019 00:00 IST|The proposed elevated corridor, which will criss cross the city through 102 km, will affect as many as 1,131 properties and require a total of 56.89 hectares of land, according to the environmental impact assessment report prepared by Karnataka Road Development Corporation Ltd. (KRDCL) as part the final feasibility report on the much-hyped project. The report, which was made public recently, states that the identified properties include 209 residential, 577 commercial, and 32 religious structures. The KRDCL will be spending Rs. 11,555 crore to acquire the properties. As per the report, of the 56.89 ha of land needed for the project, 17.76 ha is owned by private parties. Apart from this, 33.52 ha of land owned by the State government, 2.54 ha of defence land, and 3.07 ha of land owned by the Union government will be needed for the project. The State government has given its approval to take up the project in four phases and tenders have been floated for building the 22-km north-south corridor from Baptist Hospital to Silk Board.  The alignment of the elevated corridors will be for two/four/six lanes, depending on the requirement and the availability of space. The width may vary from 18 m to 62 m. Contentious project The project has been a bone of contention between sections of citizens and the government, and a recent protest against it saw a massive turnout. Chief Minister H.D. Kumaraswamy, who later met with citizens’ representatives, assured them of public consultations for the project.
No article in  <Response [200]>

Bhovi community to vote for party clarifying stand on Sadashiva panel report|Chitradurga|April 01, 2019 00:00 IST|At a meeting of Bhovi community leaders held under the leadership of Immadi Siddarameshwar Swami of Bhovi Gurupeet on Sunday, it was decided that the community would support in the Lok Sabha elections the party that clarifies its stand on the Sadashiva Commission report. Immadi Siddarameshwar Swami said the Bhovi community had initially decided to opt of NOTA because of the “negligent attitude” of the BJP in issuing ticket to a candidate from the community, despite repeated appeals. “After discussions and collecting the opinion of people from the community, the leaders have decided not to opt for NOTA and instead vote in favour of the party that clarifies its stand on the report,” he said. As the SVEEP committee formed to create awareness among voters on compulsory voting is making all efforts to ensure that the district records 100% voting, it would not be fair to appeal to Bhovi voters to abstain from voting, he said. Community leader Anandappa opined that it would not fair to blame the political parties for not announcing ticket to the community. Instead, the community should concentrate on the advantages it can get for the overall development of its people. People from the community should stand united and ensure that everyone gets facilities for social and economic development, he said.

Close to two historical structures|Bengaluru|April 01, 2019 00:00 IST| The KRDCL will have to obtain permission of the Archaeological Survey of India prior to taking up one of the lines of east-west corridor (from Varthur to Mysuru Road at Sirsi Circle). Tipu Sultan’s Summer Palace, a protected monument, is within a distance of 100 m from the proposed corridor. Another structure, Bangalore Fort, is at a distance of 330 m.

Corridors of Power|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST| The family of H.D. Deve Gowda is known for its faith in numerology, astrology, and so on. But now, A. Manju (in picture), former Congressman who is now the BJP candidate from Hassan, is trying to use the same language. He has been going around saying that “number 9” is unlucky for Mr. Gowda. This is his reasoning: Mr. Gowda lost in the 1989 Assembly elections and in the 1999 Lok Sabha elections, on both occasions to G. Puttaswamy Gowda of the Congress. Now, the Lok Sabha elections are being held in 2019. Moreover, Mr. Manju says that the polling is on April 18 (1 plus 8 is equal to 9). But, Mr. Manju seems to be forgetting that Mr. Gowda won in the 2009 Lok Sabha elections. Meanwhile, Mr. Gowda’s son and Minister for Public Works H.D. Revanna’s tryst with astrology continues. He had his own reason to remain unfazed by the recent Income Tax raids. Mr. Revanna said that his star (Nakshatra) was ‘Swathi’ and no “witchcraft” would affect him. As a double protection, he was blessed by seers of the Sringeri Mutt. “All this will only help JD(S) fight with renewed energy,” he said.  A recent statement by senior Congress leader D.K. Shivakumar (in picture) had leaders and workers of the party puzzled. At a recent party workers’ convention in Sandur to work out a strategy for Lok Sabha polls, Mr. Shivakumar said: “I am the person to carry the corpse as well as the palanquin.” His statement came in response to a question on whether B. Nagendra, Ballari (ST) MLA who had associated with the rebel group in Congress, would remain within the party and work for the victory of party candidate in the Lok Sabha election. The crowd interpreted it in its own way. Some saw it as a warning to Mr. Nagendra and others that he [Shivakumar] was capable of doing good as well as bad. When this interpretation started gaining circulation, Mr. Shivakumar clarified: “I did not mean it in the negative sense but to drive home the point that I am always the handyman for good and bad.” Nagesh Prabhu M. Ahiraj

More statues come up at Urban Tree Park|UDUPI|April 01, 2019 00:00 IST|New statues of animals, a wooden walkway and a small water pond are some of the new attractions being constructed at the Salumarada Thimmakka Urban Tree Park located on six acres of land at Yembattu Badagabettu village near Udupi. Among the big statues, on which work is in the final stages, include that of a nine-feet-high elephant, a peacock, Indian roller, two tigers, while a bison, a deer, a bear, a monkey and a wild boar have been sculpted in cement to form a group. The other statues that have been constructed include those of an eight-feet-long nest with a bird sitting on it, a tortoise, a snail, a grasshopper, a chameleon and a termite mound. Sources in the Forest Department said here that the boards besides these statues giving details of these animals are expected to be installed in about a fortnight. A narrow walkway constructed with the help of wood and bamboos in the midst of the park is yet another attraction. A small water pond and percolation pits too have been dug around the park. An animal fun zone for children too has been constructed. A concrete water plate has been constructed and water has been kept in it here for the birds to quench their thirst. The Urban Tree Park inaugurated a year ago is one of the sought-after recreational spots here. It is located just outside the city and is close to the educational hub of Manipal. This park receives about 200 visitors on the weekdays, while it receives about 600 people on the weekends. “We want people to get the feel of a forest even while they relax at the park. Yet another of our objective is to make children aware about the importance of conservation of environment,” said Cliffard Lobo, Range Forest Officer, Udupi Range.

Arsikere MLA booked for poll code violation|Hassan|April 01, 2019 00:00 IST|The Election Commission (EC) has registered a complaint against K.M. Shivalinge Gowda, Arsikere JD(S) MLA, for his alleged statement made in violation of the model code of conduct. H.K. Prabhakar, Labour Inspector and member of the flying squad formed by the EC to keep tab on violation, filed the complaint on March 27. The MLA, in a party workers’ meeting held in Arsikere on March 20, alleged that Prime Minister Narendra Modi had failed to fulfil his promise of bringing back black money and distributing the same among the residents of the country. He allegedly appealed to the workers to assault those who raised slogans praising Mr. Modi. The police have registered the case under Section 171 of the Indian Penal Code and relevant sections of Representation of the People Act.

Mahagathbandhan agenda has no clarity: Prashant Bhushan|DHARWAD|April 01, 2019 00:00 IST|The very aspirations of the Constitution will be defeated if Prime Minister Narendra Modi’s government is re-elected in the upcoming parliamentary elections, senior Supreme Court counsel Prashant Bhushan has said. Inaugurating a conference, Janasankalpa, a people’s movement to protect the Constitution organised by the Citizen for Democracy here on Sunday, Mr. Bhushan said that during its five-year tenure, the Modi government did not miss a single opportunity to weaken democracy and strangulate freedom of speech and expression. If the same government is re-elected, it would only sound the death knell to the democratic and secular fabric of the nation, he said. Mr. Bhushan said that the Modi government has turned Central agencies such as the CBI, the CVC and the CAG into puppets. This government has even rendered the post of the Chief Information Commissioner vacant for long. After repeated appeals made to the Supreme Court and based on its directions, a few posts were filled. Moreover, several key positions in government institutions are occupied either by persons affiliated to the Sangh Parivar or bureaucrats from the Gujarat cadre, he said. Expressing concern overr money power playing a decisive role in deciding the fate of the candidates in the Lok Sabha elections, Mr. Bhushan said that the limit of Rs. 70 lakh per candidate imposed by the Election Commission of India is of no use as it applies only for candidates and not for parties. Moreover, the Modi government has made it easy to procure election funds by amending rules. Now, it is possible for political parties to raise funds even from foreign firms. This apart, corporate lobbies have started buying electoral bonds from banks and donate them to parties, as the names of the donors are not be mentioned in the bonds. So far, electoral bonds worth Rs. 2,000 crore have been purchased from various banks and nearly 96 % of them donated to the BJP, he said. Political parties may spend not less than Rs. 1 lakh crore in this Lok Sabha elections, he said and added that of this, 90 % spending will be made by BJP candidates to retain power. He said that defeating the Modi government in the 2019 general elections is essential to safeguarding the democratic principles and social fabric of India. About the Mahagathbandhan, the grand alliance of the Opposition parities against BJP, Mr. Bhushan said that though they have come together to defeat the BJP, there is no clarity about their agenda. Therefore, people should push forward their agenda and compel the political parties to implement them. Suggesting that some welfare measures need to the implemented by the government, Mr. Bhushan said that the total days of employment under the MGNREGA scheme should be enhanced from 100 to 150 and employment should be provided to all adults. The Right to Education Act should be extended up to 12th standard. Money for such schemes should be mobilised by imposing wealth tax, inheritance tax on the rich, revoking exemptions provided to corporate houses, he added. Citizen for Democracy president S.R. Hiremath and Babu Mathew, expert in Constitutional law, spoke.

Solid support from IUML|MALAPPURAM|April 01, 2019 00:00 IST|The Indian Union Muslim League (IUML) leaders have welcomed the decision of Congress president Rahul Gandhi to contest from Wayanad. “His arrival will give a renewed verve to the United Democratic Front (UDF) in the State,” said IUML State president Syed Hyderali Shihab Thangal here on Sunday. He said Mr. Gandhi’s candidature would brighten the future of the United Progressive Alliance (UPA) across south India. “Mr. Gandhi will win with the largest majority from Wayanad,” Mr. Thangal said adding that the IUML would put in all its efforts and resources to ensure a glamorous victory for Mr. Gandhi. IUML general secretary P.K. Kunhalikutty described Mr. Gandhi’s decision as a historic moment. “This is Kerala’s moment to choose a future Prime Minister.” Mr. Kunhalikutty said that the situation in Kerala was favourable for the UDF. “Mr. Gandhi’s arrival will give an impetus to it,” he said. The IUML had conveyed its angst to the Congress high command over the delay in deciding the candidate for Wayanad.

Police complete poll preparations in Idukki|IDUKKI|April 01, 2019 00:00 IST|The district police have completed the election preparations with the polling booth inspection concluded under the 31 police station limits. A senior police official said that security arrangements and ramp facilities for elderly and differently-abled were ensured. The list of voters and video clippings of arrangements in the polling booths were taken by a team led by station house officers (SHOs). The monitoring in areas close to the polling booths will be intensified, he said adding that special teams will conduct night patrolling there. As per the police estimate, there are 60 problematic booths identified for special monitoring. There will be armed personnel to ensure security there. As per the order of the Superintendent of Police, in 18 police stations the sub-inspectors will be in charge of the duties of SHOs. In police stations where the SIs work as SHOs, the law and order and criminal cases function separately. The law and order will be the duty of senior SI and the criminal cases will be under the jurisdiction of official below his rank. There will be night patrolling , he said.

5,627 candidates clear K-SET|MYSURU|April 01, 2019 00:00 IST|As many as 5,627 candidates, including 2,473 women, have cleared the Karnataka State Eligibility Test (K-SET) conducted in December last by the University of Mysore. The candidates are now eligible to become assistant professors in Karnataka. The certificates issued by the university’s K-SET Centre have lifetime validity. Out of 94,840 candidates who had enrolled for the K-SET 2018, 80,758 appeared. The number that qualified for eligibility for assistant professors is equal to 6% (4,845) of the candidates that appeared in both the papers and secured at least 40% aggregate marks for general category candidates and at least 35% aggregate marks in both the papers in reserved category candidates, a release from the university stated. The examination was held in 39 subjects at 11 nodal centres in the State and conducted as per the guidelines of UGC, the release added.

Cong. activists hail Rahul’s candidature|Kozhikode|April 01, 2019 00:00 IST|The belated declaration of Congress national president Rahul Gandhi’s candidature from the Wayanad Lok Sabha constituency brought back cheer on the faces of party activists in Kozhikode district on Sunday. They held demonstrations, raised slogans hailing their leader, and distributed sweets to express their happiness. The activists took out a march to Mananchira in the city in the evening. Those engaged in campaigning in Kozhikode and Vadakara constituencies too were on cloud nine. M.K. Raghavan, Congress candidate from Kozhikode, was touring Kunnamangalam Assembly constituency when the news came in. He claimed that Congress activists in the State now had a historic responsibility to reclaim India’s secular credentials. ‘Left should withdraw’ K.C. Abu, former district Congress committee president, demanded that the Communist Party of India, which has fielded a candidate from Wayanad, withdraw from the race. “The Left should withdraw their candidate to help the Congress increase its majority,” he said.

BSY: Rahul should prove charges or apologise|Bengaluru|April 01, 2019 00:00 IST|Taking serious exception to AICC president Rahul Gandhi referring to his alleged diary and accusing him of paying Rs. 1,800 crore to central leaders, BJP State president B.S. Yeddyurappa on Sunday challenged Mr. Gandhi to either prove the allegations or apologise to the people of Karnataka. In a release here soon after Mr. Gandhi made the allegations, Mr. Yeddyurappa maintained that the I-T Department itself had described the contents of the diary as “fake”. He offered to quit politics if the contents were proved right by Mr. Gandhi. Mr. Yeddyurappa remarked that Mr. Gandhi was becoming a laughing stock by making baseless allegations.
Brief-2|Kozhikode|April 01, 2019 00:00 IST|   The Institute of Mental Health and Neuro Sciences (IMHANS) will observe World Autism Awareness Day with various programmes on April 2. P. Krishna Kumar, Director, IMHANS, will open the events.


‘More youth taking up cleanliness drive is a welcome sign’|MANGALURU|April 01, 2019 00:00 IST|It is heartening to see more and more youth getting engaged in Swacch Bharat movement while Mangaluru is becoming cleaner day by day due to the Swatch Mangaluru Abhiyan, Ramya Shetty, professor from SDM College of Business Management, said here on Sunday. She was speaking after flagging off the 17th Shramadan of Swatch Mangaluru Abhiyan Fifth Phase being organised by Mangaluru Ramakrishna Mission at Attavar. Yoga teacher Jagadish Shetty, who also jointly flagged off the drive, said that the abhiyan is waking up people from slumber towards the importance of conserving and preserving nature. He said that everyone should inculcate cleanliness, both internal and external. Volunteers formed different groups after the flagging off. The road leading towards Sarojini Madhusudan Kushe School was cleaned. Heaps of mud lying by the side of the road for years were removed using an earthmover. Dirt and garbage lying there was also removed. Old and unused motor vehicles were removed and the over-grown weeds and grass were cleared. Students from SDM College of Business Management took up cleanliness work at Ananda Shetty Circle. A park used by senior citizens was in a dilapidated condition due to poor management. Volunteers cleaned the park and removed the filth from there. The fourth team of volunteers cleaned the road by the side of Chakrapani Temple and cleaned a black-spot in the area and placed pots with flowering plants thus beautifying it. Another team of volunteers visited hundreds of houses in Attavar area and distributed awareness handbills. Concluding the Programme of Swatch Soch Seminars initiated three months ago as an offshoot of Swatch Bharat Abhiyan, a seminar was held at Sahyadri College of Engineering and Management College on Wednesday. Mission secretary and Ramakrishna Mutt president Swami Jitakamanandaji, Bhandary Foundation chairman Manjunath Bhandary and others were present. The swamiji said that “Awakening young minds to the importance of cleanliness is the need of the hour and hence, the mission planned to organise 50 seminars addressing youngsters about the importance of waste segregation and managing household waste.” Mr. Bhandary said that the abhiyan has played an important role in instilling a sense of patriotism and social concern among the youth.

Regional Commissioner verifies documents|Mandya|April 01, 2019 00:00 IST|T.K. Anil Kumar, Regional Commissioner, Mysuru, visited the office of the District Election Officer on Sunday to look into allegations revolving around the validation of nomination papers of JD(S) candidate K. Nikhil. Independent candidate Sumalatha and her election agent Madan Kumar had raised objections against the validation of Mr. Nikhil’s nomination papers, besides levelling allegations of administrative lapses against District Election Officer N. Manjushri. Mr. Kumar visited the office, verified documents, and interacted with the officials concerned. Petition Meanwhile, Nanjundaswamy, BSP candidate for Mandya, has requested the Chief Election Commissioner to take measures to remove Ms. Manjushri and Mandya Superintendent of Police D. Shivaprakash for allegedly being biased towards Mr. Nikhil. In a petition submitted to the Chief Election Commissioner, New Delhi, he has alleged that while Ms. Manjushri had validated the incomplete nomination papers of Mr. Nikhil, Mr. Shivaprakash had instructed the Chamundeshwari Electricity Supply Corporation to provide uninterrupted power supply to Mr. Nikhil’s campaign programme.

Siddaramaiah requested to wind up speech|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|As former Chief Minister Siddaramaiah, who in his inimitable style of speech, went on to attack the Prime Minister and also justified the coalition, he was at least twice nudged to stop the speech. Finally, Congress general secretary in charge of Karnataka K.C. Venugopal went up to Yeshwantpur MLA S.T. Somashekar, who was moderating the show, to convey the message. The rally was behind schedule by two hours as Congress president Rahul Gandhi arrived late.
No article in  <Response [200]>

A 55-year-old promise that has still remained one|Shivamogga|April 01, 2019 00:00 IST|For the last 55 years, residents of five gram panchayats (GPs) in the Sharavati backwater region have been listening to politicians promising them a bridge during the elections. Most families from the Tumari, Kudarur, Sankanna Shanubagh, Channagonda, and Bhankuli gram panchayats ceded their land for the construction of a reservoir across the Sharavati river near Linganamakki in 1964. After the Sharavati hydel power project was commissioned, the villages turned into islands in the Linganamakki reservoir backwaters. Many moved upland when their houses were submerged. Promises of proper rehabilitation were not fulfilled, and the region remained deprived of basic amenities like healthcare and connectivity. Moreover, many villagers don’t have title deeds for the land on which they were rehabilitated. At present, two barges provided by the Department of Ports and Inland Water Transport connect nearly 30,000 people in the five GPs. A long-standing demand of the region is a 2.16-km bridge across the Sharavati backwaters to Kalasavalli and Ambaragodlu villages, which will provide easy access to the mainland. A sharp increase in the number of devotees visiting the Chowdeshwari temple in the Sigandur village has lately resulted in overcrowding of the barges. Sathyanarayan G.T., president, Tumari GP, toldThe Hinduthat local students and patients have been facing difficulty in boarding them. In 2009, the State government gave the nod for the construction of a bridge at an estimated cost of Rs. 164.59 crore. However, the project was pushed to the back-burner as officials of the Finance Department felt it was not economically viable. On 19 February, 2018, Nitin Gadkari, Union Minister for Road Transport, Highways, Shipping and Water Resources, laid the foundation stone for the construction of a bridge. A revised estimate said the bridge would cost Rs. 450 crore. The Ministry floated a tender for a project recently. Today, B.Y. Raghavendra, BJP candidate for the Shivamogga parliamentary seat, is seeking votes claiming that the Centre took up the bridge construction work on the request of B.S. Yeddyurappa, his father and president of the BJP State unit, who was the Shivamogga MP then. Countering this claim, Madhu Bangarappa, JD(S) candidate, is alleging that BJP leaders were trying to mislead voters over the construction of the bridge. In the Lok Sabha elections of 2009 and 2014, and during the Assembly election in 2018, the BJP had tried to garner votes in the name of the bridge construction, he said. Na. D’Souza, Kannada novelist who was also involved in the struggle launched by residents of the island for the construction of the bridge, toldThe Hinduthat it has become a practice for the politicians to seek votes in the name of constructing the bridge, instead of seeing it as a responsibility of the government of the day to provide an essential amenity for the displaced people of the Sharavati hydel project. “With a small portion of the revenue earned from power generation, the bridge can be constructed. It is apparent that all the political parties that have ruled the State so far lacked the will power for the construction of the bridge,” he said. Mr. Sathyanarayan concurred, “In earlier campaign meetings, promises to build the bridge were greeted with huge applause. But people have lost hope now. For politicians, the bridge has become a means to secure votes.”

Good response to city police initiative|KOCHI|April 01, 2019 00:00 IST|The recently launched Connect to the Commissioner initiative of the City Police led to three arrests on Sunday by the Ernakulam Central Police. Two migrant workers were arrested with 3 kg of ganja, while one was arrested for selling CDs with pornographic videos. City Police Commissioner S. Surendran received 500 calls in his phone number (9497915555) during the past two days alone, said a press release.
Care home for cancer, kidney patients|Kozhikode|April 01, 2019 00:00 IST|  Minister for Higher Education K.T. Jaleel opened Care Home, a shelter for cancer and kidney patients, on the Government Medical College Campus in Kozhikode on Sunday. The shelter has been set up by Helping Hands Charitable Trust through contributions from people. The facility, located near the Olympian Rahman Stadium on the medical college campus, will provide free shelter to children suffering from leukemia, those who have undergone kidney transplant, and aged cancer patients in the first, second and third floors respectively.


Embarrassing error|April 01, 2019 00:00 IST|April 01, 2019 00:00 IST|The joint rally of the ruling coalition that was held in Bengaluru on Sunday had an embarrassing instance as the main banner in the backdrop of the dais had misspelt the name of Karnataka in Karnataka Pradesh Congress Committee. The banner read “Karnatata”.

Vertical gardens can be a solution, says report|Bengaluru|April 01, 2019 00:00 IST|The coalition government’s ambitious elevated corridor project will see approximately 3,716 trees being axed. Among the compensatory measures mentioned in the environmental impact assessment report for making up for the loss of green cover is creating vertical gardens. The proposed project has come under scathing criticism from environmentalists and sections of citizens for the impact it will have on tree-lined avenues of the city. The report, prepared by Karnataka Road Devel- opment Corporation Ltd. as part the final feasibility report, states that the 102-km elevated corridor has a total of 2,751 pillars, with an area of 64,820 sq.m. Vertical gardens will not only increase the greenery along the corridor, but will also help in absorbing air pollutants and dust, thus reducing the impact of obnoxious gases significantly, it says.

