title|location|date|body|is_event|raw_target_date
Tech-A-Byte|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|A bag that takes the load off your back There is now a bag that has an inbuilt massager which relaxes and rejuvenates the back muscles on-the-go. The massager can be switched on and off with the push of a button. There are four massager points that relax different portions of the person’s back. The product, launched by EUME, has been crafted incorporating research-based inputs from spine doctors, chiropractors and fitness experts, said a statement from the company. It is designed and made in such a way that the massager can be adjusted according to the torso size, which is the distance between the upper shoulder and the lower back. The bag also packs an inbuilt portable USB charger with two ports.|0|
A tangential walk down Bollywood|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|The new contenders The down-to-earth stars who should ideally be speaking the popularZeroline—“Le aa apne teeno Khan, yaheen khada hoon meri Jaan(Get your three Khans, I am here to take them on)” — for real: Vineet Singh inMukkabaaz, Vicky Kaushal inSanjuandRaazi, Ayushmann Khurrana inBadhaai HoandAndhadhunand Rajkummar Rao inStreerose above the three Khans. Bravura turns Pankaj Tripathi in insane comic form inStree. The deliciously wicked Tabu inAndhadhun. The made-for-each-other trinity of Surekha Sikri, Neena Gupta and Gajraj Rao inBadhaai Ho. Abrasive yet acutely vulnerable Sanjay Kapoor inLust Stories. The rebellious domestic help Bhumi Pednekar inLust Stories. Heartbreaking Manoj Pahwa as the wronged Muslim Bilal inMulk. Sharp-talking but well-meaning homemaker Sakshi Tanwar inMohalla Assi. Rasika Dugal as sublime Safiya inManto. Small but significant Rajesh Tailang as the exasperated father inMukkabaaz. Nimmi Raphael as the hospital nurse inOctober. Ekavali Khanna inBioscopewalaandVeere Di Wedding. Ashish Verma and Priyanshu Painyuli inBhavesh Joshi Superhero. Moms who mattered Luminous Gitanjali Rao and affecting Rachica Oswal inOctober. Spunky Mona Ambegaonkar inKuchh Bheege Alfaaz. Funny Ayesha Raza Mishra inSonu Ke Titu Ki Sweety. Neo Mr. Bharat It’s not as if there was any doubt about this one. Akshay Kumar fromPadmantoGoldvia the No Smoking ad that played before every film, got confirmed as Bollywood’s bona fide face of the patriotic shining new India. Scintillating sequences The seven-minute classic cliffhangar early on inAndhadhunabout which we still refuse to say anything more; cause spoiler. The lovely tribute to the piano songs in the end credits ofAndhadhun.The flare-up scenes between Shravan (Vineet Singh) and his father (Rajesh Tailang) inMukkabaaz.Delhi Sultanate ruler Alauddin Khilji (Ranveer Singh) in the bathtub with hisghulam(slave) Malik Kafur (Jim Sarbh). Male bonding got a homoerotic touch. Three wives and 15 daughters of a politician shielding him inDaas Dev. There couldn’t have been a more eloquent evocation of patriarchy and male order. Pathbreaking bromance InSonu Ke Titu Ki Sweety, the grandfather (Alok Nath) is almost joined at the hip with his bachelor buddy (Virendra Saxena) while the grandmother just couldn’t be bothered. The real-life bro code… While Vicky Kaushal savoured success, his brother Sunny impressed inGold. Ditto for Ayushmann Khurrana and his sibling Aparshakti inStree. Dialogue on loop If “Baap shunya to hum kahan se Aryabhatta ho jaayenge(If father is a zero how can we become Aryabhatta)” inMukkabaazwas the best line then “High fashion ki kasam, designer jooton ka paap lagega(Swear by high fashion else you will be cursed by designer shoes)” inWelcome to New Yorkcould well be the worst. “Chanderi ka Manish Malhotra”, “Bhagwan ka darzi roopi avtaar” (God’s own incarnation of a tailor), “Naye Bharat Ki Chudail” (the witch of New India) —Streeoffered many delectable phrases. InHappy Phirr Bhaag Jaayegi, a Pakistani jokes about the lack of queue for visa in their own embassy: “Hamare mulk mein aata hi kaun hai(Our country doesn’t get tourists)”. Then there is the catchphrase of Bagga (Jimmy Sheirgill) who keeps riding the white mare without getting married “Ghodi chadh gaya tha main”. “Thook kar maathe pe chhed kar denge(can drill a hole on someone’s forehead by spitting on it)”: Vijay Raaz inSoorma. And where did I hear “Kachre ko insaaf nahin milta, kachra sirf saaf hota hai” (Garbage doesn’t get justice, it only gets mopped clean)? It was the vigilante drama,Satyamev Jayate. Odd jobs Sonam Kapoor playing tabla, off beam at that, inPadman. Geetanjali Thapa as a meme creator inKuchh Bheege Alfaaz Welcome back Anil Dhawan, the ’70s star who came riding on his own songs ‘Mere pyaase mann ki bahaar’, ‘Ye jeevan hai’, ‘Guzar jaayein din din din’, ‘Teri galiyon mein na rakhenge kadam’, ‘Jai bholenath jai ho prabhu’ inAndhadhun. Unusual debut Banita Sandhu inOctober Already forgotten newcomers Debutantes Aayush Sharma, Warina Hussain inLoveyatri, Rohan Mehra inBazaar Forgotten films Dil Juungle,Welcome to New York,Nanu Ki Jaanu,For Here Or To Go … What were they about? The kids are not quite alright In potty pornHalkaaand exploitative desi home alonePihu Eerie endorsements Sofit soya milk as a post-coital drink inBlackmail. Baba Ramdev, Patanjali and Ministry of Ayush inYamla Pagla Deewana Phir Se. Shiv Nadar Foundation inHalkaa. Sa Re Ga Ma Carvaan featured in a number of films, fromYamla Pagla Deewana Phir SetoSimmba Patronising patriarchy ForgetSimmba, inPadman“male” virtue is made out of a man coming to a “woman’s” aid: “Ek aurat ki hifaazat mein naakaamyab insaan apne ko mard kaise kah sakta hai? (A person who is unable to protect a woman can’t call himself a man)”. InBaaghi 2a character refers to his wife as the “Russian cutlet’ who cooks and rears his kids. New found friendships Bollywood found new a bestie in Israel in the wake of Israeli Prime Minister Benjamin Netanyahu’s selfie with the Hindi film stars at the Shalom Bollywood event. Foreign filmi dignitaries They came visiting to Mumbai and landed straight on our pages: Christopher Nolan, Will Smith, Joel Edgerton, Noomi Rapace, Christian Bale, Andy Serkis, Darren Aronofsky, Sean Baker, Lucrecia Martel, Aroonpheng Phuttiphong, Marcelo Martinessi, Diego Luna, Michael Pena, Ted Sarandos, Majid Majidi… Inventive ending “Bharat Mata Ki Jai” (with a big dose of sarcasm) instead of “The End” plate inMukkabaaz Farewells We bid adieu to actors Sridevi, Shammi Aunty, lyricist Neeraj and filmmakers Kalpana Lajmi, Tulsi Ramsay, Bhimsain, Mrinal Sen… My best moment in a theatre Just as a ghost put off a flickering candle in1921, there were offers of matchboxes and lighters from audiences in single screen cinemas And… Going mainstream award of 2018 goes to… The dildo… Thanks toVeere Di WeddingandLust Stories|0|
Prestige motion sensor kitchen hood|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|Rs. 19,995 onwards TTK Prestige’s new motion sensor kitchen hood claims to help users enjoy a smoke-free kitchen with a sensor that can be controlled with a simple motion of a hand. Wave left to right to switch it on, continue waving right to regulate its speed level, and when done wave right to left to switch it off. The motion sensor kitchen hood comes with a powerful 860m3/hr suction capacity. It also comes with heat-resistant tempered glass. The motor can be controlled with three speed options.|0|
Two killed, three injured in road accident in Dharwad|Hubballi|January 02, 2019 00:00 IST|As residents of the twin cities welcomed the New Year with much fanfare by organising fun-filled programmes to mark Monday evening, two persons were killed after a New Year party in the early hours of Tuesday. The accident occurred near Itigatti Cross in Dharwad at around 3 a.m. between a car and truck killing one person on the spot. Another was killed on the way to hospital. The deceased were identified as Darshan Jnaneshwar Sarvade (26) and Manjunath Venkatesh Shivanagutti (25), both residents of Hubballi. According to the police, Darshan, along with his friends, attended the New Year party in Hubballi and after the celebrations, they all reportedly went out of the city for a jolly ride in their car. Darshan, who was driving the car, lost control of the vehicle while trying to overtake another vehicle and rammed the truck. He was killed on the spot while Manjunath died on the way to hospital. Three injured persons, Vinay Deepak Pokale (25), Ravi Yallappa Kalal (34), both of Hubballi, and Raghavendra Ramarao Shintre (40) of Sirsi have been admitted to KIMS Hospital in Hubballi. Dharwad Rural Police have registered a case.|0|
Modi rules out ordinance on Ram temple for now|New Delhi|January 02, 2019 00:00 IST|Prime Minister Narendra Modi on Tuesday made it clear that any decision on bringing an ordinance on the construction of a Ram temple in Ayodhya could be considered only after the judicial process got over. In an interview to ANI, Mr. Modi also suggested that the judicial process was being slowed down because Congress lawyers were creating “obstacles” in the Supreme Court. “We have said in our BJP manifesto that a solution would be found to this issue under the ambit of the Constitution,” he said, asked whether the Mandir issue had been sidelined. Recently, there has been a renewed pitch within the party as well as by its sister organisations in the Sangh Parivar for expediting the process of construction. The Sangh Parivar organisations are unhappy over the delay in resolving the matter and there are demands for an ordinance, similar to the one issued on triple talaq, to facilitate construction. The demand has been articulated even by the BJP’s ally, Shiv Sena. Asked whether the government could consider issuing an ordinance, the Prime Minister pointed out that the matter was before the Supreme Court and possibly in the final stages. “Let the judicial process be over. After it is over, whatever will be our responsibility as the government, we are ready to make all efforts,” he said. Hearing on January 4 The matter will be heard by the Supreme Court on January 4. Petitions have been filed in the court for day-to-day hearing. The Prime Minister was asked why the government could not take the ordinance route for the temple when a similar step was taken to ban triple talaq. Mr. Modi said, “The triple talaq ordinance was brought after the Supreme Court verdict, in the light of the Supreme Court verdict.” He was referring to the ruling in 2017, banning the practice among Muslims. Subsequently, the government issued an ordinance and brought a Bill in Parliament. The Bill has been passed by the Lok Sabha and now is before the Rajya Sabha. “Nobody can deny that those sitting in the governments in the last 70 years have tried their best to stall a solution to this [Ayodhya] issue,” Mr. Modi said. He said the Congress should “not create obstacles” and should let the judicial process take its own course. “Don’t weigh it in political terms,” he said. “I beseech the Congress, for the sake of national peace and amity, they should stop its lawyers from stalling this (Ayodhya issue) in the court,” he added. The Prime Minister said all lawyers, including the Congress ones, should head to the court and ensure that there is an early judicial verdict.|0|
A life dedicated to yoga|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|I started my journey into yoga with medical problems: three slipped discs and immense pain, which had an effect on my body and mind. Soon, I got a home teacher, and in a year, we had reached a level where I could practise on my own. One day, while browsing in a bookstore I got my hands onYoga: A Gem for Women, by Geeta S. Iyengar, the youngest daughter of BKS Iyengar. That was the first time I read about a woman yoga teacher talking about the importance of yoga in a woman’s life, which is strange, because yoga is done mostly by women, with a predominance of male teachers! The book is a must-read for all women, as it covers the major stages of life and the changes the body goes through at every age. I began using the book to take me through my daily practice, and within a few months, I felt stronger, both in my mind and body. Though I have met Geetaji, as she is called by all, I never practised with her, but I have had the opportunity to study under her lifelong student Zarina Kolah. Through her, I got to know of Geetaji’s philosophy and teachings. Iyengar yoga uses simple props like a rolled towel, a brick, a chair, a rope, making yoga accessible to all, even to people who have physical disabilities. Geeta Iyengar showed us that the path of yoga requires dedication: she started teaching at the age of 15 and was dedicated to her father and his way of teaching. In fact, she died just a few days after the centenary celebrations of her father’s life. She chose to be asanyasin, carrying forward the work he had started.|0|
Man who attacked U.P. inspector arrested|LUCKNOW|January 02, 2019 00:00 IST|The Uttar Pradesh police on Tuesday said they had arrested another person wanted in the murder of inspector Subodh Kumar Singh during the mob violence in Bulandshahr last month. The man, identified as Kalua alias Rajeev, is accused of wielding an axe on the police officer before he was shot dead with his service pistol, allegedly by another accused Prashant Natt. Kalua was nabbed at a bus station late on Monday. An axe, allegedly used in the crime, was recovered from him, a police officer said. “During questioning, it has come to light that he was the one who attacked inspector Subodh Kumar Singh with an axe, after which the incident [murderous attack on the officer] took place,” said SP (City) Atul Srivastava. The police said that after his arrest, Natt informed them that the inspector had first been hit with a sharp axe and assaulted with stones and sticks before he was shot. The mob also tried to burn the officer, the police said. Senior Superintendent of Police (Bulandshahr) Prabhakar Chaudhary said it was after Kalua attacked the officer with an axe on his head that the mob had set upon him.|0|
Scramble for alternatives to plastics begins|CHENNAI|January 02, 2019 00:00 IST|Day one of the ban on single-use plastics in the State on Tuesday witnessed the hiking of prices of alternatives such as cloth bags and banana leaves, sale of non-woven bags as permissible, many hotels and shops switching to alternatives and plastic manufacturers and sellers shutting shop, protesting seizure of all kinds of plastics in Kancheepuram, Salem, Villupuram, Paramakudi, Madurai and Vellore. In Chennai, a plastics wholesaler who had shut shop claimed that in many places local body workers had been bringing back seized goods over the past month and selling it back to them. The prices of banana leaves shot up from Rs. 2 to Rs. 15 a piece and that of cloth bags from Rs. 3 to Rs. 50 each, said a seller. ‘Clarity needed’ A plastics manufacturer said that there was still a lot of confusion as to what was banned and that even officials on raids were not sure of what is what. “My plastic sheet is used as packaging material by industries and also by small eateries to be used on plates. I cannot determine the end use. I need clarity,” he said. The ban saw a mixed response in Coimbatore, Tiruchi and Madurai. In Coimbatore, most restaurants and retailers had switched over to alternatives. Interestingly, poultry meat stall owners were offering Rs. 5 rebate or free eggs for people who come with vessels to carry home the poultry meat. A few Tasmac outlets had replaced plastic cups with glass tumblers. In the Nilgiris, officials inspected the Udhagamandalam and Coonoor markets to ensure that non-woven bags were not being used by vendors, shop owners and restaurants to package food. Products seized The district administration had seized more than 75 kg of banned plastic products from store owners and levied fines of Rs. 1.64 lakh on business owners continuing to flout rules. In Erode, most large commercial establishments, including textile showrooms and restaurants, displayed messages about the ban and asked customers to bring their own bags. However, smaller establishments continued to use the banned items as they said that alternative products were not available or were costly. “They should have supplied us with alternatives before the ban began,” said a fruit seller. In Madurai, many shopkeepers and hoteliers continued the practice of using non-woven bags on the first day of the implementation of the plastics ban on Monday. S. Pandi, a fruit seller in Goripalayam, said that most people were still unaware that non-woven bags cannot be used. “I bought them in bulk and have no choice but to use them until I exhaust stock. The officials from the Corporation and district administration should have created more awareness,” he said. Many hotels began displaying signs asking customers to bring their own tiffin carriers and bags for take-aways. “In case the customers do not bring their own bags, we package the food in banana leaves. We are yet to find viable and cheap alternatives to pack sambar and chutney,” said K. Kannan, owner of a small-scale restaurant. ‘Strong awareness’ Many shoppers in Tiruchi were seen carrying cloth bags to buy vegetables and grocery items. Several grocery shops had put up notices asking customers to bring cloth bags. “We notice strong awareness among the customers on plastic ban. Most of them brought cloth bags to buy commodities on the first day of the ban,” said M. Manikandan, a grocery trader at Cantonment in Tiruchi. In Kancheepuram, the district administration plans to step up the on-going awareness campaigns to highlight the impact of the non-recyclable and non-degradable plastic products on the environment. “This is so that the consumer is better informed and can help bring about the change,” said an official. In Tiruvannamalai, Collector K.S. Kandasamy inaugurated a permanent shop for alternatives to banned plastic items on Tuesday. An initiative of the Tiruvannamalai Municipality, the sale counter/shop at Asaliamman Koil Street sold alternatives to banned plastics, said S. Parijatham, Commissioner of the municipality. (With inputs fromV. Venkatasubramanian in Kancheepuram, Sanjana Ganesh in Madurai, C. Jaisankar in Tiruchi, M. Soundariya Preetha in Coimbatore, Rohan Premkumar in Udhagamandalam, S.P. Saravanan in Erode and Serena Josephine. M in Tiruvannamalai and Deepa H. Ramakrishnan in Chennai)|0|
Three students drown in the Netravathi in Uppinangady|MANGALURU|January 02, 2019 00:00 IST|Three pre-university students from a government college in Uppinangady were drowned in the Netravathi river near here on Monday. The three bodies were found in the early hours of Tuesday. According to Uppinangady police, Farzan hosted a party for his two friends, Mohammed Shaheer and Mohammed Suhail on account of his birthday. He cut a cake in a corner of the college and it was shared among them. They ate that and a few other snacks and went away to the river nearby to wash their hands and faces. The three, however, did not return to their houses and their family members launched a search. During the search, a man told the family members about the three going towards the river. The family members and the police found the bag and the uniforms of the students on the shore. Fire and Emergency Services personnel and local swimmers later launched a search in the river course. At around 5 a.m. on Tuesday, the bodies were retrieved from the river. The Uppinangady police have registered a case of unnatural death. Man drowns in pond Udupi Special Correspondent writes: A man was drowned when he accidentally slipped while washing his legs at a pond near a temple at Koteshwar on Tuesday. According to the police, Raghavendra Devadiga (47) had gone out for walking at 4 a.m. He then went to wash his legs in the pond located on the west side of the Sri Kotilingeshwara Temple. While washing his legs, he accidentally slipped and was drowned. A case of has been registered.|0|
Naidu hints at broad political alliance in State|VIJAYAWADA|January 02, 2019 00:00 IST|Chief Minister Chandrababu Naidu on Tuesday dropped enough hints on the possible broad realignment of political parties in the State in the run-up to the general elections in 2019. Though he did not categorically say the TDP and the Jana Sena Party (JSP) would join hands, he sought to know what the stand of YSR Congress president Y.S. Jagan Mohan Reddy on an alliance with the BJP was. “Why is he [Mr. Jagan] bothered about the TDP-JSP alliance. I don’t want to comment in this regard right now. Let him say whether he would sail with the BJP or not,” he told a press conference. He also parried a question why the TDP was soft-pedalling with JSP chief Pawan Kalyan of late. Instead, he recalled that he suggested to Mr. Pawan to fight against the Centre for the injustice to Andhra Pradesh. When asked if the JSP was willing to join hands with the TDP, Mr. Naidu said: “I will not answer speculative questions.” Mr. Pawan, who campaigned for the TDP-BJP combine in the 2014 elections, had been critical of the State government in the recent past. Reacting to Prime Minister Narendra Modi’s comment that the grand alliance had failed, the TDP national president said there was no truth in their claims. In fact, it was the failure of the Modi government at the Centre. Let there be a debate on the NDA rule. How better was the NDA government than the UPA government? The Modi government’s decisions and policies, including the GST and the demonetisation, were a big failure.|0|
BSP chief’s demand natural: Gehlot|Jaipur|January 02, 2019 00:00 IST|A day after Bahujan Samaj Party supremo Mayawati’s threat to reconsider support to the newly-elected Congress regime, Rajasthan Chief Minister Ashok Gehlot on Tuesday said his government would examine the cases registered against Dalits who had participated in the Bharat Bandh organised on April 2 last year over the alleged dilution of the SC/ST Act. “The cases were lodged against Dalit protesters... How many of them were actually guilty is a matter of investigation,” Mr. Gehlot told reporters at the State Congress headquarters here. He said those who were innocent were also booked sometimes, and added that no innocent person should be framed in a criminal case.|0|
LazyPay ties up with Flipkart, Airtel|January 01, 2019 00:00 IST|January 01, 2019 00:00 IST|  LazyPay, a popular credit platform, now allows its users to avail EMI option while checking out on Flipkart. They will also be able to use the ‘Buy now pay later’ option while paying bills on Airtel. This follows the partnership LazyPay has forged with Flipkart and Airtel. The alternative lending platform was launched in April 2017, with the aim of offering convenience in the form of seamless checkout and improving affordability. The ‘Buy now pay later’ option enables users to avail small ticket credit up to Rs. 30,000 for 15 days. It is currently live at over 100 merchants, such as Swiggy, Zomato, Samsung, Croma, PVR, Box8, BookMyShow, FreshMenu and so on . LazyPay, which witnesses more than 1 million transactions per month, has seen 35% month-on-month growth.|0|
DMK senior leaders urge Stalin to contest in Tiruvarur bypoll|CHENNAI|January 02, 2019 00:00 IST|DMK president M.K. Stalin is facing a piquant situation, as many senior party leaders are urging him to enter the fray in Tiruvarur, where a byelection is scheduled for January 28. Tiruvarur was last represented by his father and DMK leader M Karunanidhi, who won by a margin of over 68,000 votes. Sources said that though Mr. Stalin had not made up his mind, he was unlikely to accept their proposal, as he was representing the Kolathur Assembly constituency. “What is preventing him from taking a final decision is that he is not interested in causing a byelection to yet another constituency [Kolathur],” a party source said. The DMK leaders met him on Tuesday morning and had another round of meeting with him at his Alwarpet bungalow in the evening. A senior leader said though no decision was taken, they would meet Mr. Stalin again on Wednesday to place their request that he should enter the fray from Tiruvarur. Senior leaders, including party treasurer Duraimurugan, headquarters secretary T.R. Baalu and women’s wing leader Kanimozhi were closeted with Mr. Stalin for over an hour. Mr. Duraimurugan, when contacted, said, “There is a party general council and other relevant bodies that would take a decision on who would be fielded in Tiruvarur.”|0|
India, Pak. move towards release of civilian prisoners|NEW DELHI|January 02, 2019 00:00 IST|In a peace overture, India has asked Islamabad to take back dozens of Pakistani nationals who have completed jail terms here. The Indian request came in the context of the exchange of the lists of prisoners in both countries that took place on the first day of the new year. “India has also asked Pakistan to expedite response in the cases of 80 Pakistan prisoners who have completed their sentences and await repatriation for want of nationality confirmation by Pakistan,” the Ministry of External Affairs (MEA) said in a statement after India handed over a list of 249 civilian Pakistani prisoners and 98 fishermen in its custody. In turn, Pakistan shared lists of 54 civilian prisoners and 483 fishermen in Pakistani jails, who it claims are Indian. Formalities completed Out of the total number of Indian prisoners in Pakistan, Delhi has asked Islamabad to release 17 Indian civilian prisoners and 369 Indian fishermen whose nationality has been confirmed. The MEA said India has shared details of the reconstituted Joint Judicial Committee and of the medical professionals who are expected to visit Pakistan to help the elderly and mentally unsound Indian prisoners in Pakistani custody. Activists hail move Activists have welcomed the bilateral move, saying this will help long suffering prisoners in each other’s custody. Peace activist Jatin Desai of Pakistan-India Peoples’s Forum for Peace and Democracy (PIPFPD reiterated that both countries in fact claim that the exact number of prisoners in each other’s custody is “a bit higher” than the official numbers shared. Mr. Desai also said the cases of prisoners who have served jail terms should be taken up at the earliest. “The process of nationality confirmation should be completed before the completion of the jail term and the persons should be immediately released as the jail term ends,” Mr. Desai said, urging both countries to grant consular access to prisoners. The exchange of lists comes despite continued military tension, which has, however, not dampened humanitarian moves by both sides. In December 2018, Pakistan sent back Indian prisoner Hamid Nehal Ansari who had completed both regular and irregular prison terms. India subsequently released Pakistani Imran Warsi, who was awaiting repatriation after serving a jail term.|0|
Senior DMK leaders urge Stalin to contest in Tiruvarur|CHENNAI|January 02, 2019 00:00 IST|DMK president M.K. Stalin is facing a piquant situation as many senior party leaders are urging him to enter the fray in the Tiruvarur where a bypoll is due on January 28. The party seniors, including some DMK district secretaries, are keen that Mr. Stalin enters the fray in Tiruvarur, which was last represented by his father and DMK leader M Karunanidhi, who had won by a margin of over 68,000 votes. Sources said though Mr Stalin has not made up his mind, he is not averse to the idea but is worried about leaving his current Kolathur constituency now. “What is preventing him from taking a final decision is that he is not interested in causing a by-election to yet another constituency (Kolathur),” a party source said. Meeting The DMK leaders met him on Tuesday morning and had another round of meeting with him at his Alwarpet bungalow in the evening. A senior leader said though no decision was taken, they would meet Mr. Stalin again on Wednesday to place their request that he should enter the fray from Tiruvarur. Senior leaders, including party treasurer Duraimurugan, headquarters secretary T.R. Baalu and women’s wing leader Kanimozhi, were closeted with Mr. Stalin for over an hour. Mr. Duraimurugan, when contacted, said, “We have not said anything about this. There is a party general council and other relevant bodies that would take a decision on who would be fielded in Tiruvarur.”|0|
U.S. journalist covering Sterlite issue deported|Thoothukudi|January 02, 2019 00:00 IST|Mark Scialla, a U.S.-based freelance journalist, who was covering the Sterlite issue in Thoothukudi after coming to India on a tourist visa, was deported on Tuesday. Superintendent of Police Murali Rambha said he issued a ‘Leave India Notice’ in his capacity as the Foreigner Registration Officer of the district. Leaves for Madurai According to police, the foreigner left for Madurai by road around 7 p.m. He would be taking a flight via Hyderabad and Doha to the U.S. Mr. Scialla was given 48 hours to leave the country. He checked out of the hotel situated on the V.E. Road, which was under surveillance for the last two days. On Sunday, Mr. Scialla, who has contributed toThe GuardianandAl JazeeraEnglish, among other news outlets, was grilled by the police for several hours after he was found visiting villages around the Sterlite plant, where heavy security has been deployed following the anti-Sterlite agitation. His original plan was to stay in Thoothukudi till January 3, while his visa is valid until January 21.|0|
No article in  <Response [200]>||||0|
Steps to tackle fish waste water menace|MANGALURU|January 02, 2019 00:00 IST| The Dakshina Kannada district administration has promised to tackle the menace of waste water spillage from fish-transporting vehicles.|0|
Praveen Kumar takes oath as HC acting CJ|VIJAYAWADA|January 02, 2019 00:00 IST|A new chapter had begun in the history of sunrise State Andhra Pradesh with the inauguration of the temporary campus for the High Court at the CM’s camp office here on Tuesday. Justice Chagari Praveen Kumar, senior-most Judge of the High Court of Andhra Pradesh, took charge as acting Chief Justice. The court had been established consequent to the bifurcation of the High Court of Judicature at Hyderabad. Supreme Court Judge N.V. Ramana inaugurated the High Court in the presence of Chief Minister Chandrababu Naidu and others. Justice Ramana said the High Court had been established after a long time in Vijayawada. The problems of the petitioners would come down with the move. More than the establishment of the High Court, it was necessary to protect the values of it. Mr. Naidu said the bifurcation was almost complete with the division of the High Court in physical sense. Except division of the funds and assets, the entire Capital had been shifted to AP. Justice Praveen Kumar said the State had witnessed a historical event with the inauguration and a new history had begun in the State. “It is my duty to strive for welfare of all sections of society. I shall work under guidance of Supreme Court judges.”|0|
‘Come back before sunrise’|January 02, 2019 00:00 IST|January 02, 2019 00:00 IST|“Come back before sunrise, irrespective of the success or failure of the mission.” This was the message of Prime Minister Narendra Modi to the Army Special Forces’ commandos who went across the Line of Control on September 28, 2016, to carry out surgical strikes at terrorist camps in Pakistan-occupied Kashmir. The date was changed twice for the safety and security of the troops, he said. The strikes were carried out days after terrorists attacked an Army camp in Uri.PAGE 13|0|
Bhima-Koregaon stays peaceful|January 02, 2019 00:00 IST|January 02, 2019 00:00 IST|The 201st anniversary of the Bhima-Koregaon battle passed off without any incident as lakhs of Ambedkarites from across Maharashtra and India congregated near the commemorative Bhima-Koregaon ‘Ranstambh’ (victory pillar) on Tuesday under heavy security cover. The Pune Rural Police and the district administration pulled out all the stops to ensure that the event passed off without any incident. Officials estimated 8 to 10 lakh visitors this year — perhaps the largest since the Bhima-Koregaon Ranstambh Seva Sangh, which organises the ceremony, was formed in 2005 to keep alive the memory of this episode. Internet services were suspended.|0|
Prakash Raj to contest LS polls as Independent|BENGALURU|January 02, 2019 00:00 IST|Actor and activist Prakash Raj, on New Year’s Day, announced his decision to enter electoral politics by declaring that he will contest the 2019 Lok Sabha polls as an Independent and said he will announce his constituency subsequently. Taking to Twitter just after midnight, he wrote: “HAPPY NEW YEAR TO EVERYONE... a new beginning... more responsibility... with UR support I will be contesting in the coming parliament elections as an INDEPENDENT CANDIDATE. Details of the constituency soon. Ab ki Baar Janatha ki SARKAR #citizensvoice #justasking in parliament too” It is being speculated that he might choose Telangana rather than Karnataka. While questions are being asked if he will be part of the ‘mahagatbandhan’ and contest from Karnataka, the speculation is that he might not.|0|
‘It will be public vs coalition’|January 02, 2019 00:00 IST|January 02, 2019 00:00 IST|The 2019 Lok Sabha poll will be a “public versus coalition” contest, Prime Minister Narendra Modi said, ridiculing the alliance proposed by anti-BJP parties. He dismissed claims by some pundits that the BJP might not get more than 180 seats, saying that there were a similar “set of persons” who made a similar prediction in 2014. He was confident that the people would vote the BJP to power again.page 11|0|
A sammelan of records|HUBBALLI|January 02, 2019 00:00 IST|The 84th Kannada Sahitya Sammelan is set to create records in terms of registration of delegates and number of sessions held, according to sahitya parishat on Tuesday.|0|
Police open fire in the air in Kasaragod|KANNUR|January 02, 2019 00:00 IST|The police opened fire in the air to disperse a mob, allegedly Sangh Parivar workers, who hurled stones at police personnel at Chettukundu under the Bekal police station limits on Tuesday after alleged attempts to disrupt the women’s wall there. The Bekal police said Kanhangad Deputy Superintendent of Police K.K. Sudhakaran and Additional Superintendent of Police Prashob opened a few rounds of fire in the air using their service revolvers to disperse the crowd that threw bricks at them at 4 p.m. A. Srinivas, District Police Chief, Kasaragod, toldThe Hinduthat the police have been deployed in strength in the area. Mr Sreenivas said miscreants torched dry grass, attacked officers, damaged police vehicles, chased away passersby and assaulted journalists. The LDF has pledged to reconstruct the wall in the strife-torn locality on Wednesday, further escalating tension in the communally sensitive area.|0|
Revival of steel flyover project on the cards?|Bengaluru|January 02, 2019 00:00 IST| The proposal to construct a steel flyover to Kempegowda International Airport appears to be getting a new lease of life. Bengaluru Development Minister G. Parameshwara has said that the government is considering reviving the project on ‘popular demand’.|0|
